significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse,rms_relative_energy_error
12,0.000244140625,724,0.13812154696132597,128,0.08089781769981576,0.0065444569085926245,0.0064898465478193355,0.006530073104364933,1.4383804227691144e-05,1.4497062528696593e-05,0.006504343610348032,0.006080709087233367
12,0.000244140625,1024,0.09765625,128,0.04042280700216068,0.0016340033259339304,0.0016215248428259326,0.0016111705205630767,2.2832805370853748e-05,2.301259123991559e-05,0.001644537434065848,0.007985997766179847
12,0.000244140625,1448,0.06906077348066299,128,0.020865387649020982,0.00043536440174391736,0.00040547099949445617,0.0004058030954521919,2.9561306291725487e-05,2.9794072482998925e-05,0.0004352650719774551,0.009261124325586165
12,0.000244140625,2048,0.048828125,128,0.01273465726049082,0.00016217149554217155,0.00010131069612683703,0.00010866832057439874,5.350317496777279e-05,5.3924459810038725e-05,0.00015523515593687576,0.012003413461444875
12,0.000244140625,2896,0.034530386740331494,128,0.00926916328068506,8.591738792400024e-05,2.533657322618605e-05,2.039561154613652e-05,6.552177637786372e-05,6.603769587690202e-05,9.137426910308806e-05,0.013587968776585083
12,0.000244140625,4096,0.0244140625,128,0.01065594043529573,0.00011354906656057055,6.331183684688811e-06,3.2831048942701266e-06,0.00011026596166630043,0.00011113419758493272,0.00011746538126962153,0.017857302608947453
12,0.000244140625,5793,0.017262213015708613,128,0.011512020538247566,0.00013252661687303377,1.5823467947628095e-06,5.415606589992124e-07,0.00013198505621403456,0.0001330243086251687,0.0001346066554199315,0.01961440431771475
12,0.000244140625,8192,0.01220703125,128,0.014824328325658638,0.00021976071030692506,3.9568674060037325e-07,4.3402154103907085e-06,0.00021542049489653436,0.00021711671926579842,0.0002175124060063988,0.02516599230081891
12,0.000244140625,11585,0.008631851532153647,128,0.016844863763392153,0.00028374943520724207,9.892927997963101e-08,9.42508800322119e-07,0.00028280692640691996,0.0002850337525991004,0.00028513268187908006,0.028613186066756877
12,0.000244140625,16384,0.006103515625,128,0.020934174019469967,0.0004382396418774514,2.4730227078461893e-08,7.244720106107616e-06,0.0004309949217713438,0.00043438858257269296,0.0004344133127997714,0.03784011678110477
12,0.000244140625,23170,0.0043159257660768235,128,0.025371377336530568,0.000643706787952617,6.183055655732513e-09,1.8972185200475307e-05,0.0006247346027521417,0.0006296537728525522,0.0006296599559082079,0.04207335015994788
12,0.000244140625,32768,0.0030517578125,128,0.0279044151140026,0.0007786563828545768,1.545636150137427e-09,1.5074811918209895e-05,0.0007635815709363669,0.0007695940242508266,0.0007695955698869767,0.047508571343215775
12,0.000244140625,46341,0.0021579163160052655,128,0.03221352772032542,0.0010377113681881744,3.8640724180014873e-10,1.67571193726322e-05,0.001020954248815542,0.0010289932586487354,0.0010289936450559771,0.05479033934055852
12,0.000244140625,65536,0.00152587890625,128,0.0375387064048451,0.0014091544785491588,9.660221164817191e-11,4.8231045160955406e-06,0.0014043313740330632,0.0014153891013876543,0.001415389197989866,0.06349255516761994
12,0.000244140625,92682,0.0010789581580026328,128,0.04512639363680133,0.0020363914026635434,2.4150446416376503e-11,2.0388002605290544e-05,0.0020160034000582527,0.0020318774425783963,0.0020318774667288427,0.06948680760108275
12,0.000244140625,131072,0.000762939453125,128,0.05597157293520178,0.003132816976840613,6.037637504773663e-12,6.6797162892810505e-06,0.0031261372605513316,0.0031507525145714208,0.003150752520609058,0.09511518814134501
16,1.52587890625e-05,64,1.5625,128,1.4852399008218389,2.205937562993266,2.205956412722246,2.2059375543073965,8.685869579139194e-09,8.754262252990667e-09,2.2059564214765084,0.6036426003372756
16,1.52587890625e-05,91,1.098901098901099,128,0.32373508831519565,0.10480440740644752,0.10479737910878975,0.10480439663362488,1.0772822633953183e-08,1.0857648009023699e-08,0.10479738996643775,0.19792822256932974
16,1.52587890625e-05,128,0.78125,128,1.9166201589125609,3.6734328335500104,3.673395357862124,3.6734328215644902,1.1985520131929661e-08,1.207989430619685e-08,3.6733953699420185,0.09907063244895827
16,1.52587890625e-05,181,0.5524861878453039,128,1.1970304883255525,1.4328819899809109,1.4328602304922946,1.4328819739994547,1.5981456158442604e-08,1.6107294395910655e-08,1.432860246599589,0.03825942405688908
16,1.52587890625e-05,256,0.390625,128,0.6335517076773828,0.40138776630092793,0.4013816543506467,0.4013877435225985,2.277832944486135e-08,2.2957686369624028e-08,0.4013816773083331,0.0005527601492378385
16,1.52587890625e-05,362,0.27624309392265195,128,0.3212053952861924,0.10317290596095911,0.10317775364611904,0.10317287538163782,3.057932129735265e-08,3.0820103354812053e-08,0.1031777844662224,0.000919535412732903
16,1.52587890625e-05,512,0.1953125,128,0.16102263195603608,0.025928288002049053,0.025929028886009182,0.025928243716620395,4.4285428657531156e-08,4.4634132820188875e-08,0.025929073520142003,0.0012852131736479863
16,1.52587890625e-05,724,0.13812154696132597,128,0.08055296683270352,0.006488780465550634,0.0064898465478193355,0.006488723030803898,5.743474673636228e-08,5.788698883664866e-08,0.0064899044348081724,0.000981208317146136
16,1.52587890625e-05,1024,0.09765625,128,0.04024313592728301,0.0016195099892617765,0.0016215248428259326,0.0016194233619555593,8.662730621722403e-08,8.730941099058802e-08,0.001621612152236923,0.0008023241770994248
16,1.52587890625e-05,1448,0.06906077348066299,128,0.02013665064473927,0.0004054846991882785,0.00040547099949445617,0.0004053403040044687,1.4439518380982008e-07,1.4553215376107851e-07,0.00040561653164821723,0.0006937211882502043
16,1.52587890625e-05,2048,0.048828125,128,0.010034182964213455,0.00010068482775931151,0.00010131069612683703,0.00010053121406510221,1.5361369420929805e-07,1.5482325085661537e-07,0.00010146551937769365,0.0006580430082947412
16,1.52587890625e-05,2896,0.034530386740331494,128,0.005035623843552114,2.5357507493750563e-05,2.533657322618605e-05,2.5096431639481853e-05,2.6107585426871083e-07,2.6313156965665343e-07,2.5599704795842703e-05,0.0008706458118720337
16,1.52587890625e-05,4096,0.0244140625,128,0.002581160936795242,6.66239178163769e-06,6.331183684688811e-06,6.30453945253512e-06,3.5785232910257037e-07,3.606700639773938e-07,6.691853748666205e-06,0.0009444695737516436
16,1.52587890625e-05,5793,0.017262213015708613,128,0.0014509404564504876,2.105228208164749e-06,1.5823467947628095e-06,1.5811057667171326e-06,5.241224414476164e-07,5.282493898054717e-07,2.110596184568281e-06,0.0011589024505679175
16,1.52587890625e-05,8192,0.01220703125,128,0.001080435265104096,1.1673403620805585e-06,3.9568674060037325e-07,4.5608662883734734e-07,7.112537332432112e-07,7.168541563396145e-07,1.1125408969399877e-06,0.0014130134772693712
16,1.52587890625e-05,11585,0.008631851532153647,128,0.0010761287954056582,1.158053184301233e-06,9.892927997963101e-08,1.391410971539053e-07,1.0189120871473278e-06,1.0269350169673856e-06,1.1258642969470165e-06,0.0015911182415174032
16,1.52587890625e-05,16384,0.006103515625,128,0.0011885976189048187,1.4127642996662044e-06,2.4730227078461893e-08,1.692760898987127e-08,1.395836690676333e-06,1.4068275307603988e-06,1.4315577578388607e-06,0.001958684669001608
16,1.52587890625e-05,23170,0.0043159257660768235,128,0.0013584658030054192,1.8454293379351586e-06,6.183055655732513e-09,2.606988373251832e-08,1.8193594542026403e-06,1.833685119196362e-06,1.8398681748520945e-06,0.002206670439713827
16,1.52587890625e-05,32768,0.0030517578125,128,0.0017917250470470478,3.2102786442157452e-06,1.545636150137427e-09,5.49317981869392e-08,3.155346846028806e-06,3.1801920967849384e-06,3.1817377329350757e-06,0.0030401255334604727
16,1.52587890625e-05,46341,0.0021579163160052655,128,0.0019030094453542713,3.621444949107571e-06,3.8640724180014873e-10,2.821454035655798e-09,3.6186234950719154e-06,3.647116593458309e-06,3.6475030007001093e-06,0.0032607986242288714
16,1.52587890625e-05,65536,0.00152587890625,128,0.00233104504327032,5.433770993755127e-06,9.660221164817191e-11,8.674388112077651e-08,5.3470271126343505e-06,5.389129688324385e-06,5.389226290536033e-06,0.0036957483798704394
16,1.52587890625e-05,92682,0.0010789581580026328,128,0.0029196316327370327,8.524248870878712e-06,2.4150446416376503e-11,7.039365501676178e-08,8.45385521586195e-06,8.520421004963225e-06,8.520445155409641e-06,0.004901008195492612
16,1.52587890625e-05,131072,0.000762939453125,128,0.0033556093214608925,1.1260113918275231e-05,6.037637504773663e-12,3.1225574625840846e-07,1.0947858172016822e-05,1.1034061779670497e-05,1.1034067817308003e-05,0.005599721814459975
20,9.5367431640625e-07,64,1.5625,128,1.4852466785125094,2.205957696032441,2.205956412722246,2.205957696002346,3.0095145125974554e-11,3.033211477263577e-11,2.2059564127525784,0.6036352879688812
20,9.5367431640625e-07,91,1.098901098901099,128,0.32372486908743164,0.10479779086567474,0.10479737910878975,0.1047977908242995,4.137523657021802e-11,4.170102583455044e-11,0.10479737915049078,0.19790634594090106
20,9.5367431640625e-07,128,0.78125,128,1.9166103348180488,3.673395175531353,3.673395357862124,3.673395175482616,4.873695891305374e-11,4.912071449504629e-11,3.673395357911245,0.09908628691027986
20,9.5367431640625e-07,181,0.5524861878453039,128,1.1970213347507175,1.4328600758483891,1.4328602304922946,1.4328600757910892,5.7299831546231417e-11,5.775101132218599e-11,1.4328602305500455,0.038250803815841006
20,9.5367431640625e-07,256,0.390625,128,0.6335474235599119,0.4013823378994024,0.4013816543506467,0.4013823378250294,7.437302770169074e-11,7.495864209304272e-11,0.40138165442560536,0.0005102975640466993
20,9.5367431640625e-07,362,0.27624309392265195,128,0.3212130101698039,0.10317779790234655,0.10317775364611904,0.10317779778448255,1.1786399287117e-10,1.1879205580716345e-10,0.1031777537649111,0.0008299249938606242
20,9.5367431640625e-07,512,0.1953125,128,0.16102389443044615,0.025928694577547463,0.025929028886009182,0.02592869439649457,1.810528948986701e-10,1.8247850824432865e-10,0.02592902906848769,0.0012553815689486441
20,9.5367431640625e-07,724,0.13812154696132597,128,0.08055971393321863,0.00648986750900202,0.0064898465478193355,0.006489867244620684,2.643813362679381e-10,2.6646307907319815e-10,0.006489846814282415,0.0009098182247272579
20,9.5367431640625e-07,1024,0.09765625,128,0.04026842863804118,0.0016215463449770146,0.0016215248428259326,0.0016215460154472778,3.295297368310913e-10,3.321244591683434e-10,0.0016215251749503918,0.0005305522597265152
20,9.5367431640625e-07,1448,0.06906077348066299,128,0.020136203137625135,0.0004054666767997044,0.00040547099949445617,0.00040546623192606646,4.448736379281116e-10,4.483765799590416e-10,0.0004054714478710361,0.00028490779913504355
20,9.5367431640625e-07,2048,0.048828125,128,0.010065068275648995,0.00010130559939347582,0.00010131069612683703,0.00010130489954780829,6.998456675288978e-10,7.05356263336212e-10,0.00010131140148310037,0.00015388936000157043
20,9.5367431640625e-07,2896,0.034530386740331494,128,0.005033431709911722,2.533543477834484e-05,2.533657322618605e-05,2.5334449141050837e-05,9.85637294004249e-10,9.933982175790856e-10,2.533756662440363e-05,8.803044100354605e-05
20,9.5367431640625e-07,4096,0.0244140625,128,0.0025161882589569717,6.3312033545129154e-06,6.331183684688811e-06,6.3299693320731266e-06,1.2340224397888733e-09,1.243739151913195e-09,6.332427423840724e-06,7.220316843018893e-05
20,9.5367431640625e-07,5793,0.017262213015708613,128,0.0012558741278619228,1.577219825032945e-06,1.5823467947628095e-06,1.5752110262389719e-06,2.008798793973199e-09,2.02461610731157e-09,1.584371410870121e-06,7.592952906668332e-05
20,9.5367431640625e-07,8192,0.01220703125,128,0.0006309729341397563,3.981268436169332e-07,3.9568674060037325e-07,3.953672950828073e-07,2.7595485341258552e-09,2.7812772627410192e-09,3.9846801786311424e-07,9.048588424350249e-05
20,9.5367431640625e-07,11585,0.008631851532153647,128,0.0003209390610216857,1.030018808894813e-07,9.892927997963101e-08,9.858700936556457e-08,4.41487152391673e-09,4.449634291821586e-09,1.033789142714526e-07,0.00011537800766062461
20,9.5367431640625e-07,16384,0.006103515625,128,0.0001740360292623063,3.028853948139034e-08,2.4730227078461893e-08,2.4970781358654405e-08,5.317758122735938e-09,5.359630233938583e-09,3.008985731240048e-08,0.00012385309705182214
20,9.5367431640625e-07,23170,0.0043159257660768235,128,0.00012672688679428204,1.6059703836570778e-08,6.183055655732513e-09,7.721785591843373e-09,8.337918244727405e-09,8.403571144292188e-09,1.45866268000247e-08,0.0001514216255848205
20,9.5367431640625e-07,32768,0.0030517578125,128,0.00011675868668244426,1.3632590915809186e-08,1.545636150137427e-09,2.0563070953844362e-09,1.1576283820424749e-08,1.1667435661530456e-08,1.3213071811667882e-08,0.0001798938491269092
20,9.5367431640625e-07,46341,0.0021579163160052655,128,0.00011493294961338425,1.3209582906832725e-08,3.8640724180014873e-10,9.617454958935708e-10,1.2247837410939155e-08,1.2344277075592218e-08,1.2730684317392366e-08,0.0001894419040390374
20,9.5367431640625e-07,65536,0.00152587890625,128,0.0001602244669884358,2.567187982172836e-08,9.660221164817191e-11,2.3459421050997396e-10,2.5437285611218385e-08,2.5637579198708294e-08,2.5734181410356466e-08,0.00027974145031044347
20,9.5367431640625e-07,92682,0.0010789581580026328,128,0.0001697650139649679,2.8820159966525745e-08,2.4150446416376503e-11,1.2641397617661552e-10,2.869374599034913e-08,2.8919680998147153e-08,2.894383144456353e-08,0.0002875843883838824
20,9.5367431640625e-07,131072,0.000762939453125,128,0.00020884320859097566,4.3615485774573775e-08,6.037637504773663e-12,1.41940621912442e-10,4.347354515266133e-08,4.381585653181614e-08,4.382189416932091e-08,0.00033501104362712906
24,5.960464477539063e-08,64,1.5625,128,1.4852462293624824,2.205956361835472,2.205956412722246,2.2059563618353524,1.1952564589121084e-13,1.2046679270925188e-13,2.2059564127223665,0.6036352799290975
