duration,significand_bits,unit_roundoff,steps,h,replicates,rms_state_error,empirical_mse,exact_bias_squared,sample_bias_squared,empirical_variance_component,variance_trace_unbiased,estimated_expected_mse
200.0,16,1.52587890625e-05,20000,0.01,512,0.00157187889435229,2.4708032585101776e-06,7.034454749082222e-07,7.213236095831562e-07,1.7494796489270215e-06,1.7529032881617124e-06,2.4563487630699345e-06
200.0,16,1.52587890625e-05,21000,0.009523809523809525,512,0.0015517568533841154,2.407949332024571e-06,5.787249501221734e-07,6.310895313960991e-07,1.776859800628472e-06,1.7803370213733417e-06,2.3590619714955153e-06
200.0,16,1.52587890625e-05,22000,0.00909090909090909,512,0.0015540530008929338,2.415080729584333e-06,4.804605806833098e-07,5.534410465081561e-07,1.8616396830761772e-06,1.865282813571434e-06,2.345743394254744e-06
200.0,16,1.52587890625e-05,23000,0.008695652173913044,512,0.0015884197192444257,2.52307720448454e-06,4.0219471147152913e-07,4.2964217915465847e-07,2.0934350253298817e-06,2.0975317670624254e-06,2.4997264785339544e-06
200.0,16,1.52587890625e-05,24000,0.008333333333333333,512,0.0015342585635237205,2.35394933974587e-06,3.392360856197204e-07,3.4340804562849604e-07,2.010541294117374e-06,2.0144758171978387e-06,2.353711902817559e-06
200.0,16,1.52587890625e-05,25000,0.008,512,0.0015846633407658778,2.511157903567273e-06,2.881285984917433e-07,2.4395692039248417e-07,2.2672009831747886e-06,2.271637775705463e-06,2.5597663741972065e-06
200.0,16,1.52587890625e-05,26000,0.007692307692307693,512,0.0015846290127802694,2.5110491081449714e-06,2.4629322746816366e-07,2.2936426641322534e-07,2.281684841731746e-06,2.2861499784083248e-06,2.5324432058764885e-06
200.0,16,1.52587890625e-05,27000,0.007407407407407408,512,0.0015768493807456533,2.4864539695579504e-06,2.1178262343074822e-07,2.2042944775592661e-07,2.2660245218020236e-06,2.2704590120599535e-06,2.4822416354907015e-06
200.0,16,1.52587890625e-05,28000,0.007142857142857143,512,0.001635196817107537,2.67386863067862e-06,1.8311032115432874e-07,1.7855701933952973e-07,2.4953116113390905e-06,2.5001948043162707e-06,2.6833051254705993e-06
200.0,16,1.52587890625e-05,29000,0.006896551724137931,512,0.0016097589197653576,2.5913237797641313e-06,1.5913018633363263e-07,1.227822186016352e-07,2.468541561162496e-06,2.473372366565945e-06,2.6325025528995775e-06
200.0,16,1.52587890625e-05,30000,0.006666666666666667,512,0.0016810932283651196,2.82607444245506e-06,1.3895020600494394e-07,1.951597821041353e-07,2.630914660350925e-06,2.636063221330085e-06,2.775013427335029e-06
200.0,16,1.52587890625e-05,31000,0.0064516129032258064,512,0.0016848136705268633,2.8385971043942014e-06,1.2187008743538242e-07,9.699821448376652e-08,2.741598889910435e-06,2.746964054078557e-06,2.8688341415139394e-06
